date_time,dow,hr,temp_1h,rain_1h,snow_1h,cloud_coverage_1h,weather_1h,is_holiday,traffic_volume
2012-10-03 00:00:00,2,0,12.179998,0.0,0.0,0.0,Clear,0,506
2012-10-03 01:00:00,2,1,10.849998,0.0,0.0,0.0,Clear,0,321
2012-10-03 02:00:00,2,2,9.849998,0.0,0.0,0.0,Clear,0,273
2012-10-03 03:00:00,2,3,9.729998,0.0,0.0,0.0,Clear,0,367
2012-10-03 04:00:00,2,4,9.399998,0.0,0.0,0.0,Clear,0,814
2012-10-03 05:00:00,2,5,8.779998,0.0,0.0,0.0,Clear,0,2718
2012-10-03 06:00:00,2,6,8.089998,0.0,0.0,0.0,Clear,0,5673
2012-10-03 07:00:00,2,7,7.849998,0.0,0.0,0.0,Clear,0,6599
2012-10-03 08:00:00,2,8,7.659998,0.0,0.0,0.0,Unknown,0,6511
2012-10-03 09:00:00,2,9,8.129998,0.0,0.0,0.0,Clear,0,5471
2012-10-03 10:00:00,2,10,10.939998,0.0,0.0,0.0,Clear,0,4767
2012-10-03 11:00:00,2,11,17.099998,0.0,0.0,0.0,Unknown,0,4868
2012-10-03 12:00:00,2,12,20.369999,0.0,0.0,0.0,Unknown,0,5097
2012-10-03 13:00:00,2,13,22.579998,0.0,0.0,0.0,Clear,0,4887
2012-10-03 14:00:00,2,14,23.649998,0.0,0.0,0.0,Clear,0,5337
2012-10-03 15:00:00,2,15,24.189999,0.0,0.0,0.0,Clear,0,5692
2012-10-03 16:00:00,2,16,24.679998,0.0,0.0,0.0,Clear,0,6137
2012-10-03 17:00:00,2,17,25.209997,0.0,0.0,5.7000003,Clear,0,5827
2012-10-03 18:00:00,2,18,23.429998,0.0,0.0,9.900001,Unknown,0,4623
2012-10-03 19:00:00,2,19,22.789999,0.0,0.0,16.800001,Clouds,0,3591
2012-10-03 20:00:00,2,20,21.139997,0.0,0.0,21.900002,Clouds,0,2898
2012-10-03 21:00:00,2,21,20.499998,0.0,0.0,18.900002,Clouds,0,2637
2012-10-03 22:00:00,2,22,19.609999,0.0,0.0,24.300001,Clear,0,1777
2012-10-03 23:00:00,2,23,17.509998,0.0,0.0,37.0,Clear,0,1015
2012-10-04 00:00:00,3,0,16.669998,0.0,0.0,25.0,Clear,0,598
2012-10-04 01:00:00,3,1,16.229998,0.0,0.0,32.0,Clear,0,369
2012-10-04 02:00:00,3,2,16.209997,0.0,0.0,33.0,Clear,0,312
2012-10-04 03:00:00,3,3,16.229998,0.0,0.0,3.6000001,Clear,0,367
2012-10-04 04:00:00,3,4,16.169998,0.0,0.0,6.3,Clear,0,835
2012-10-04 05:00:00,3,5,16.309998,0.0,0.0,0.0,Clear,0,2726
2012-10-04 06:00:00,3,6,11.509998,0.0,0.0,8.0,Clear,0,5689
2012-10-04 07:00:00,3,7,8.799998,0.0,0.0,55.0,Clear,0,6990
2012-10-04 08:00:00,3,8,8.629998,0.0,0.0,98.0,Clear,0,5985
2012-10-04 09:00:00,3,9,8.259998,0.0,0.0,100.0,Clear,0,5309
2012-10-04 10:00:00,3,10,7.749998,0.0,0.0,87.0,Clear,0,4603
2012-10-04 11:00:00,3,11,7.989998,0.0,0.0,96.0,Clear,0,4884
2012-10-04 12:00:00,3,12,7.849998,0.0,0.0,98.0,Clear,0,5104
2012-10-04 13:00:00,3,13,8.669998,0.0,0.0,100.0,Clear,0,5178
2012-10-04 14:00:00,3,14,9.269999,0.0,0.0,100.0,Clear,0,5501
2012-10-04 15:00:00,3,15,9.409998,0.0,0.0,98.0,Clear,0,5713
2012-10-04 16:00:00,3,16,9.619998,0.0,0.0,97.0,Clear,0,6292
2012-10-04 17:00:00,3,17,9.649998,0.0,0.0,100.0,Clouds,0,6057
2012-10-04 18:00:00,3,18,7.649998,0.0,0.0,97.0,Clouds,0,4907
2012-10-04 19:00:00,3,19,7.679998,0.0,0.0,44.0,Clouds,0,3503
2012-10-04 20:00:00,3,20,7.3199983,0.0,0.0,0.0,Clouds,0,3037
2012-10-04 21:00:00,3,21,7.129998,0.0,0.0,0.0,Clouds,0,2822
2012-10-04 22:00:00,3,22,6.709998,0.0,0.0,59.0,Clouds,0,1992
2012-10-04 23:00:00,3,23,5.469998,0.0,0.0,65.0,Clouds,0,1166
2012-10-05 00:00:00,4,0,5.249998,0.0,0.0,98.0,Clouds,0,627
2012-10-05 01:00:00,4,1,5.219998,0.0,0.0,94.0,Clouds,0,388
2012-10-05 02:00:00,4,2,4.8399982,0.0,0.0,82.0,Clouds,0,328
2012-10-05 03:00:00,4,3,4.519998,0.0,0.0,91.0,Unknown,0,368
2012-10-05 04:00:00,4,4,4.5099983,0.0,0.0,92.0,Clear,0,778
2012-10-05 05:00:00,4,5,3.7499983,0.0,0.0,79.0,Unknown,0,2489
